"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"Gm4951",5.14933186867942,4.22970965514016,4.6737006200525,4.70792802118201,4.56193010134431,4.73187798758383,8.32308168838264,7.9561021475459,7.59815485360516,5.92682202164185,6.94744504800673,6.89991982236179
"Usp18",5.80787362034427,5.28316725655981,5.38147097630156,5.57139799706891,5.26448824234528,5.2736404886203,9.59275804662343,9.18374728492669,8.99534012465918,7.73216940458748,7.89753176288779,7.87609904450495
"Parp12",7.53611622182227,7.22894648058161,7.53407160267005,7.54313460135189,7.58848728428173,7.52482857474922,9.01416377188427,8.62048554637964,8.5734047149295,8.12294211411402,8.10676866497213,8.09087077227789
"Fcgr4",4.9193733906472,4.34572831445679,4.61965682084748,5.01633154592878,4.63086909436037,4.60835672553648,6.43043941011314,5.83107423740722,6.27342892265478,5.24405204905981,5.55744844437463,5.27241078707163
"Slfn8",4.94242627843193,5.0132859020599,4.91973367896942,5.05095932509342,4.6465142251479,4.84255373857923,6.25956531116525,6.13989870832233,6.17391912874603,4.65379298694314,5.12068637414728,4.91763591958543
"Tor3a",5.46053842672018,5.29344228347697,5.43259061519493,5.39898656851485,5.24672031348749,5.32326928850944,6.65177536995071,6.51768323412523,6.44507858830076,5.89130196675348,6.05106702242675,5.84945511911875
"Trim12c",6.08512354892209,5.36849195676709,5.99818239267907,5.74346724426666,6.20313765802304,5.75625435733068,7.19242388113916,7.00753140749006,6.82777629490816,6.58622203318635,6.70351547128961,6.6428214164522
"A130040M12Rik",4.81099515522418,4.10401851465736,4.51454326386463,3.60067186965171,3.98855029947354,4.13398811504695,5.53303555867517,5.19379491483935,5.75684534507815,4.10964783002679,4.33547258296799,4.15209598314525
"Casc4",8.22992026950056,7.81844083911255,8.01455961112609,7.4418482864932,7.70837219110166,7.77504480149987,7.6197061115441,7.5816770579093,8.88467853847637,8.75830186164787,8.70245381780765,9.04964819429258
"Gm20559",5.55275482343033,5.87378543375849,5.33856027520979,5.86650316098233,5.10606595137896,5.19685042546095,7.25721753083,7.04003618578113,6.7470455891966,5.92565362782363,5.9157480246677,6.06886475479642
"AA467197",4.59036369809068,4.79254307604927,4.96284123486375,4.62977238858667,4.61080816493845,4.60020259908835,6.85328025811258,6.8613505181294,7.18658709179484,5.32347239983118,5.37554743790455,5.22315460395952
